text,count,examples
ALINEAR Y BALANCEAR,2,(s/f)  Q-6 SUSPENSION | (s/f)  RX-6 NEUMATICOS
Cortes en neumaticos,1,(s/f)  BX-19 NEUMATICOS
"Freno de motor no conecta en forma automatica y manual, avisado el año 2022",1,(s/f)  BX-19 MOTOR
Foco mayor derecho (defecto conector),1,(s/f)  RX-19 LUCES Y SISTEMA ELECTRICO
Gobernador de cuerpo bomba no funciona,1,(s/f)  RX-19 CUERPO BOMBA
Torre de iluminacion no baja ocacionalmente,1,(s/f)  RX-19 TORRE DE ILUMINACION
Tripode y foco portatil se encuentra en CML desde 2022 para su reparacion,1,(s/f)  RX-19 OTROS
"Botonera de alzavidrio puerta tacera izquierda no funciona, impide la subida y bajada de vidri.",1,(s/f)  B-19 CABINA Y CARROCERIA
Seguro de cajonera de techo y luces de interior,1,(s/f)  B-19 CABINA Y CARROCERIA
Alertas en tablero de instrumentos (Falla control motor y falla luces),1,(s/f)  B-19 MOTOR
"Piton monitor no funciona por electrovalvula, seguro de fijacion roto",1,(s/f)  B-19 CUERPO BOMBA
"Luz azul de emergencia inferior tracera derecha no enciende, pendiente del 2024",1,(s/f)  B-19 SISTEMAS DE ALARMAS
Soportes de ERA cabina tracera se encuentran en mal estado,1,(s/f)  B-19 OTROS
cambiar cargador mantenedor sistema de carga,1,(s/f)  B-1 LUCES Y SISTEMA ELECTRICO
Convertidor de 220 a 24 para maquina de agua malo,1,(s/f)  B-1 CABINA Y CARROCERIA
Cargador de linternas no funciona,1,(s/f)  B-1 CABINA Y CARROCERIA
Lubricar cuerpo de bomba,1,(s/f)  B-1 CUERPO BOMBA
Generador no se conecta con Bomba. (rosenbauer),1,(s/f)  B-1 TORRE DE ILUMINACION
camara de retroceso no esta funcionando (rosenbauer),1,(s/f)  B-1 OTROS
falta goma en manilla pollo lado conductor,1,(s/f)  B-1 OTROS
sistema luz de cajonera abierta o puerta abierta no corta estando todo cerrado,1,(s/f)  RH-1 LUCES Y SISTEMA ELECTRICO
Sistema de frenos chilla al retroceder como si estuviera fierro con fierro,1,(s/f)  RH-1 FRENOS
cielo despegado en las esquinas y tambien en luneta trasera,1,(s/f)  RH-1 CABINA Y CARROCERIA
reemplazar toldo roto,1,(s/f)  RH-1 CABINA Y CARROCERIA
colocar letras faltantes a la puerta del conductor,1,(s/f)  RH-1 CABINA Y CARROCERIA
"Puerta trasera de cola, chapa trabada nuevamente",1,(s/f)  RH-1 CABINA Y CARROCERIA
cargador de celular esta desconectado de la caja,1,(s/f)  RH-1 CABINA Y CARROCERIA
reemplazar luces quemadas de barra led trasera,1,(s/f)  RH-1 SISTEMAS DE ALARMAS
"revisar sistema electrico de claxon, a veces se queda pegado.",1,(s/f)  RH-1 SISTEMAS DE ALARMAS
Soldar base banderin izquierdo en parachoques,1,(s/f)  RH-1 TORRE DE ILUMINACION
CORTE DE TERMINAL DE DIRECCION LADO DERECHO,1,(s/f)  B-20 DIRECCION
CAMBIAR PASTILLAS DE FRENOS SUENAN,1,(s/f)  B-20 FRENOS
VALVULA DE AIRE SUSPENSION CON FUGA,1,(s/f)  B-20 SUSPENSION
Soporte de ERA quebrado asiento trasero derecho e izquierdo,1,(s/f)  B-20 CABINA Y CARROCERIA
Seguro de corredera inferior quebrado L-3,1,(s/f)  B-20 CABINA Y CARROCERIA
FUGA DE REFRIGERANTE POR PARTE FORNTAL - NO SE ACTIVA Y ARROJA ALARMA DE T° ALTA,1,(s/f)  B-20 MOTOR
"Cañerias de entrada frontal con filtración (cambio de goma de 5"")",1,(s/f)  B-20 CUERPO BOMBA
Primer de cebado NO FUNCIUONA,1,(s/f)  B-20 CUERPO BOMBA
Ventiladores superiores de aire acondicionado malos,1,(s/f)  B-20 ACCESORIOS E INSTRUMENTOS
"Luz frontal ""Apoquindo "" quemada",1,(s/f)  B-20 SISTEMAS DE ALARMAS
Generador Honda techo de sistema de iluminación no funciona,1,(s/f)  BM-20 LUCES Y SISTEMA ELECTRICO
Sistema auto eyectable de enfuche cargador de baterias no funciona,1,(s/f)  BM-20 LUCES Y SISTEMA ELECTRICO
Golpeteo eje delantero extremo derecho,1,(s/f)  BM-20 DIRECCION
Sistema de dirección con exceso de juego,1,(s/f)  BM-20 DIRECCION
Ruido intermitente en tambores.,1,(s/f)  BM-20 FRENOS
Testigo ABS activo en tablero,1,(s/f)  BM-20 FRENOS
Puerta L1 sin amortiguador (puerta derecha),1,(s/f)  BM-20 CABINA Y CARROCERIA
Aire acondicionado no enfria por perdida de gas refrigerante,1,(s/f)  BM-20 CABINA Y CARROCERIA
Manometro de RPM no funciona.,1,(s/f)  BM-20 CUERPO BOMBA
Primer de cebado no funciona,1,(s/f)  BM-20 CUERPO BOMBA
Parlante y microfono de torre malo,1,(s/f)  BM-20 OTROS
Luz de retroceso trasera izquierda no enciende,1,(s/f)  B-10 LUCES Y SISTEMA ELECTRICO
Luces de cajoneras algunas no encienden o tienen intermitencia o prenden a medias,1,(s/f)  B-10 LUCES Y SISTEMA ELECTRICO
"Revisar alineación y orientación del volante, en carretera se carga a la derecha",1,(s/f)  B-10 DIRECCION
Revisar alarma sensor de ABS,1,(s/f)  B-10 FRENOS
"Perdida de aire en sistema de frenos, a veces queda casi en cero",1,(s/f)  B-10 FRENOS
Revisar humedad en amortiguador delantero derecho,1,(s/f)  B-10 SUSPENSION
Falta pomo de manilla de alza vidrio puerta derecha trasera,1,(s/f)  B-10 CHASSIS
Revisar holgura de manillas interiores y exteriores de las 4 puertas,1,(s/f)  B-10 CABINA Y CARROCERIA
"Revisar sistema de alta presión, no conecta y tiene fuga de aire",1,(s/f)  B-10 CUERPO BOMBA
Extensiones de graseras con tecalanes rebentados,1,(s/f)  B-10 CUERPO BOMBA
Claxon derecho no funciona,1,(s/f)  B-10 SISTEMAS DE ALARMAS
Prueba hidrostática y mantenimiento de cascada pendiente,1,(s/f)  B-10 OTROS
Revisar luces de nivel de estanque de agua no marcan,1,(s/f)  BX-10 LUCES Y SISTEMA ELECTRICO
"Revisar sistema eléctrico en general, luces de cajoneras y cuerpo bomba no encienden o tienen intermitencia",1,(s/f)  BX-10 LUCES Y SISTEMA ELECTRICO
"Revisar letras mascara, se están despegando",1,(s/f)  BX-10 CABINA Y CARROCERIA
"Revisar emblema bandera española en mascara, está suelta",1,(s/f)  BX-10 CABINA Y CARROCERIA
"Pedal de embrague más duro de lo habitual, verificar desgaste del sistema",1,(s/f)  BX-10 MOTOR
Revisar manómetro y mano vacuómetro no siempre trabajan,1,(s/f)  BX-10 CUERPO BOMBA
Reloj de RPM tablero principal a veces no marca correctamente,1,(s/f)  BX-10 ACCESORIOS E INSTRUMENTOS
Horómetro de toma de fuerza cuerpo bomba no funciona,1,(s/f)  BX-10 ACCESORIOS E INSTRUMENTOS
Realizar mantención y cambio de aceite a generador,1,(s/f)  BX-10 TORRE DE ILUMINACION
Revisar cuadratura de los carretes de mangueras desmontables (pollos),1,(s/f)  BX-10 OTROS
"Bocina no funciona, alarma de retroceso a veces no suena",1,(s/f)  B-9 LUCES Y SISTEMA ELECTRICO
Rotula torcida,1,(s/f)  B-9 DIRECCION
Volante Desalineado,1,(s/f)  B-9 DIRECCION
Sonido de golpeteo al avanzar,1,(s/f)  B-9 DIRECCION
Fuga de aire desde tecalán,1,(s/f)  B-9 FRENOS
"Golpe tren delantero izquierdo al frenar, al frenar se va hacia la izquierda",1,(s/f)  B-9 FRENOS
Paquetes desalineados,1,(s/f)  B-9 SUSPENSION
Faltan tapas de pernos de sujeción en ambas ruedas delanteras,1,(s/f)  B-9 NEUMATICOS
Tapabarros trasero derecho roto,1,(s/f)  B-9 NEUMATICOS
"Fijar imán sensor de cierre de todas las cortinas, con el desplazamiento se sueltan y se activa la alarma de cortina abierta",1,(s/f)  B-9 CABINA Y CARROCERIA
"Filtración de aceite empaquetadura y mangueras hidraulicas,",1,(s/f)  B-9 MOTOR
"Manómetro descarga general,y pitón monitor con pérdida de glicerina.",1,(s/f)  B-9 CUERPO BOMBA
Fuga de agua por manguera despiche pitón monitor. Despiche steamer drain malo,1,(s/f)  B-9 CUERPO BOMBA
Estroboscópico frontal izquierdo no Enciende. Segmento blanco Foco estroboscopico trasero izquierdo no enciende. Segmento blanco Foco estroboscopico delantero derecho no enciende.,1,(s/f)  B-9 SISTEMAS DE ALARMAS
Sirena electrónica PA300 se queda pegada,1,(s/f)  B-9 SISTEMAS DE ALARMAS
"No funciona motor para enrollado y dientes de enrollado manual están dañados, no funcionan.",1,(s/f)  B-9 OTROS
"Parlante con soporte roto, se encuentra colgando del cable.",1,(s/f)  B-9 OTROS
LUZ CUERPO BOMBA CAMBIO QUEMADA,1,(s/f)  BX-16 LUCES Y SISTEMA ELECTRICO
REPOCISION DE GUARDAFANGO DERECHO TRASERO POR EXPLOCION DE NEUMATICO,1,(s/f)  BX-16 NEUMATICOS
REVISON DE ESTADO DE CHASIS,1,(s/f)  BX-16 CHASSIS
REPRACION DE PUERTAS CABINA CAIDAS Y FALTA DE REGULACION,1,(s/f)  BX-16 CABINA Y CARROCERIA
MANTENIMIENTO FUAGA DE AGUA ESTANQUE CUERPO BOMBA,1,(s/f)  BX-16 CUERPO BOMBA
MANTENIMIENTO FUAGA CUERPO BOMBA A EXTERIOR,1,(s/f)  BX-16 CUERPO BOMBA
MANTENIMIENTO REPARAR VALVULA ALIVIO MONITOR,1,(s/f)  BX-16 CUERPO BOMBA
MANTENIMIENTO DEAPICHE RODADO,1,(s/f)  BX-16 CUERPO BOMBA
SE SOLCITA MANTENCION Y REVISION DE CUERPO BOMBA MANILLAS,1,(s/f)  BX-16 CUERPO BOMBA
TESTIGO BATERIA,1,(s/f)  BX-16 ACCESORIOS E INSTRUMENTOS
LUZ DE TROCHA DAÑADA 6-12 BORDE TRASERO IZQUIERDO,1,(s/f)  BX-16 SISTEMAS DE ALARMAS
LUZ IZQUIERDA SUELTA SE SOLICITA CAMBIO SOQUETE,1,(s/f)  RX-16 LUCES Y SISTEMA ELECTRICO
"SONIDO EN FRENOS, SE SOLICITA REVISION",1,(s/f)  RX-16 FRENOS
SONIDO EN PAQUETE DE RESORTES AL MOVIMIENTO Y CARGA,1,(s/f)  RX-16 SUSPENSION
Fijaciones de amortiguadores Se nota Oxido,1,(s/f)  RX-16 SUSPENSION
PIOLA SOSTENEDORA CAPO AL VASCULAR CORTADA,1,(s/f)  RX-16 CABINA Y CARROCERIA
BOTONERA DE ACELERADOR NO FUNCIONA,1,(s/f)  RX-16 MOTOR
FUGA DE AIRE BAJA EN PULMONES AL INCIO DE DIA,1,(s/f)  RX-16 MOTOR
AUTOEYECTOR DE MANTENEDOR MALO MAS DE 6 AÑOS,1,(s/f)  RX-16 MANTENCION
ILUMINACION DE CAJONERAS PERMANENTE (no se pueden apagar de dia),1,(s/f)  B-21 LUCES Y SISTEMA ELECTRICO
guarda fango trasero derecho cortado(goma),1,(s/f)  B-21 CABINA Y CARROCERIA
tacometro RPM no funciona,1,(s/f)  B-21 CUERPO BOMBA
carrete de mangueras (pollos) mal estado,1,(s/f)  B-21 CUERPO BOMBA
RADIO BASE CUERPO BOMBA NO FUNCIONA,1,(s/f)  B-21 ACCESORIOS E INSTRUMENTOS
ILIMINACION DE EMERGENCIA FRONTAL Y TRASERA CON FALLA,1,(s/f)  B-21 SISTEMAS DE ALARMAS
mantenimiento generador,1,(s/f)  B-21 TORRE DE ILUMINACION
ILUMINACION CAJONERAS NO FUNCIONA,1,(s/f)  BX-21 LUCES Y SISTEMA ELECTRICO
PANTALLA CAMARAS CON ERROR PERMANENTE QUE NO DEJA VER,1,(s/f)  BX-21 LUCES Y SISTEMA ELECTRICO
CRUJIDO EN PAQUETES DE RESORTES,1,(s/f)  BX-21 SUSPENSION
NEUMATICO DELANTERO IZQUIERDO CON GRIETA,1,(s/f)  BX-21 NEUMATICOS
CHAPA DE CONTACTO MAL FUNCIONAMIENTO BLOQUEA ALZAVIDRIOS,1,(s/f)  BX-21 CABINA Y CARROCERIA
SEGUROS CAJONERA DE TECHO CAJON Y CHORIZOS DEFECTUOSOS,1,(s/f)  BX-21 CABINA Y CARROCERIA
TAPIIZ PUERTA TRASEDA DERECHA QUEBRADO,1,(s/f)  BX-21 CABINA Y CARROCERIA
REVERSA CON DIFICULTAD DE ENGANCHE (REGULACION PIOLAS),1,(s/f)  BX-21 MOTOR
PITON MANGUERIN OBSTRUIDO,1,(s/f)  BX-21 MOTOR
NIVEL DE AGUA ESTANQUE DEFECTUOSO,1,(s/f)  BX-21 CUERPO BOMBA
RADIO BASE CUERPO BOMBA NO FUNCIONA DESDE LA INSTALACION,1,(s/f)  BX-21 CUERPO BOMBA
TELECOMANDO LIMPIA PARABRISAS SE ACCIONA SOLO,1,(s/f)  Z-21 LUCES Y SISTEMA ELECTRICO
CORTA CORRIENTE D PISO SUELTO,1,(s/f)  Z-21 LUCES Y SISTEMA ELECTRICO
HOLGURA ANORMAL EN TERMINALES DE DIRECCION (ROTULAS),1,(s/f)  Z-21 DIRECCION
Chequeo De Neumáticos,1,(s/f)  Z-21 NEUMATICOS
SEGUROS CHORIZOS DE TECHO DEFECTUOSOS,1,(s/f)  Z-21 CHASSIS
CARROSERIA INCLINADA LADO IZQUIERDO,1,(s/f)  Z-21 CHASSIS
SEGUROS DE CIERRE CAJONERAS LATERALES EN MAL ESTADO,1,(s/f)  Z-21 CABINA Y CARROCERIA
NIVEL DE ESTANQUE DE AGUA DEFECTUOSO,1,(s/f)  Z-21 CUERPO BOMBA
CAMARA RETROCESO CON ANGULO INVERTIDO CONDUCE AL ERROR DE MANIOBRAS,1,(s/f)  Z-21 ACCESORIOS E INSTRUMENTOS
"ACCIONADOR DE FRENO MANO MAXI DURO DE ACCIONAR, TABLERO SUELTO",1,(s/f)  Z-21 ACCESORIOS E INSTRUMENTOS
SIRENA PA-PI DEFECTUOSA,1,(s/f)  Z-21 SISTEMAS DE ALARMAS
"ASIENTO CONDUCTOR TAPIZ ROTO, REGULADOR DE AIRE QUEBRADO",1,(s/f)  Z-21 OTROS
FUGA DE AGUA POR ARTICULACION DESCARGA RAPIDA (DESGASTE DE DISCO),1,(s/f)  Z-21 OTROS
CONECTAR RADIO TELECOM,1,(s/f)  RM-21 LUCES Y SISTEMA ELECTRICO
RUEDA DE REPUESTO Y GATA DE LEVANTE (NO TIENE),1,(s/f)  RM-21 NEUMATICOS
RECTIFICACION POSICION DE VOLANTE,1,(s/f)  Q-12 DIRECCION
FIJACION SOPORTE HALLIGANS,1,(s/f)  Q-12 CHASSIS
AIRE ACONDICIONADO CONTRACABINA MALO (CONTROLES MALOS),1,(s/f)  Q-12 CABINA Y CARROCERIA
REVISAR REBALSE DE COMBUSTIBLE (CUANDO SE LLENA),1,(s/f)  Q-12 MOTOR
TORRE ILUMINACION CAMBIO FOCOS QUEMADOS (4 FOCOS),1,(s/f)  Q-12 TORRE DE ILUMINACION
CARGADOR MANTENEDOR DE CORRIENTE SIEMPRE MANTIENE EN EL MINIMO,1,(s/f)  RX-12 LUCES Y SISTEMA ELECTRICO
CORRECCION POSICION DEL VOLANTE,1,(s/f)  RX-12 DIRECCION
REHUBICACION CAMARA TRASERA (ESCALERA TECHO),1,(s/f)  RX-12 ACCESORIOS E INSTRUMENTOS
FIJACION DE BARRA BALIZA TECHO,1,(s/f)  RX-12 SISTEMAS DE ALARMAS
SIRENA FEDERAL Q2B PEGADA,1,(s/f)  RX-12 SISTEMAS DE ALARMAS
INSTALAR LUZ PERIMETRAL LATERALES ( PARA PAB Y RURAL ),1,(s/f)  Z-2 LUCES Y SISTEMA ELECTRICO
INSTALAR LUZ EN CAJONERA DERECHA-SUPERIOR,1,(s/f)  Z-2 LUCES Y SISTEMA ELECTRICO
RESTAURAR APOYO DEL ESTANQUE DE COMBUSTIBLE A SU POSICION ORIGINAL,1,(s/f)  Z-2 CHASSIS
REPARA PASADOR DE PISADERA LADO DERECHO,1,(s/f)  Z-2 CABINA Y CARROCERIA
REPONER ASTA PARACHOQUES DELANTERO IZQUIERDO,1,(s/f)  Z-2 CABINA Y CARROCERIA
RENOVAR LUCES ALARMA SUPERIOR FRONTAL (PROVEIDAS POR 2DA LA CIA),1,(s/f)  Z-2 SISTEMAS DE ALARMAS
INSTALAR LUZ PERIMETRAL FRONTAL ( PARA FUNCION 10-3 y 10-4 ),1,(s/f)  B-2 LUCES Y SISTEMA ELECTRICO
REPARA PERDIDA DE AIRE VALVULA COMPARTIMENTO CUERPO BOMBA,1,(s/f)  B-2 FRENOS
FORTALECER ANCLAJE-UNION PUERTA PISADERA TRIPULACION DERECHA,1,(s/f)  B-2 CABINA Y CARROCERIA
"CAMBIAR MATERIAL DEL ASIENTO DEL CONDUCTOR, SE ESTA DETERIORANDO",1,(s/f)  B-2 CABINA Y CARROCERIA
"PITON DEL MANGUERIN CON FUGA Y CIERRE DEFECTUOSO, SOLICITA REEMPLAZO",1,(s/f)  B-2 CUERPO BOMBA
MECANISMO DE ABRIR POLLO SE ATASCA ABIERTO (REVISAR),1,(s/f)  B-2 CUERPO BOMBA
"LUZ DE PANEL TRANSMISION AUTOMATICA SE APAGA AL ENCENDER LUCES, DEBE PERMANECER ILUMINADO PERMANENTEMENTE",1,(s/f)  BX-2 LUCES Y SISTEMA ELECTRICO
REPONER TAPA DE RUEDA DELANTERA DERECHA,1,(s/f)  BX-2 NEUMATICOS
"SE HACE NECESARIO ALINEACION, BALANCEO Y ALINEAR EL VOLANTE DE DIRECCIÓN",1,(s/f)  Q-8 DIRECCION
FOCO 220 VOLT DE TORRE QUEMADO Y DERRETIDO,1,(s/f)  Q-8 TORRE DE ILUMINACION
ROTURA MOTOR DE CAMBIO DE PATRON DE MONITOR,1,(s/f)  Q-8 OTROS
REVISAR FUNCIONAMIENTO YA QUE NO OPERA CORRECTAMENTE (NO TIENE RETORNO AUTOMATICO),1,(s/f)  Q-8 OTROS
FOCOS LED DE TORRE DE ILUMINACIÓN SE APAGAN AL ELEVAR 2do. CUERPO DEL MASTIL,1,(s/f)  RX-8 LUCES Y SISTEMA ELECTRICO
CORNETA DE PAPI ROTA SOLICITA CAMBIO,1,(s/f)  RX-8 OTROS
"NO OPERATIVO, DEBE SER REEMPLAZADO.",1,(s/f)  RX-8 OTROS
LUEGO DE COLISIÓN NO FUERON REPUESTOS,1,(s/f)  RX-8 OTROS
